dataset,model_name,distance_frac_step,clean_data,optimized_mode_ratio,butter_Wn,dist_error,dir_error,dir_ratio
../test_case0,SVR,3,3,0.0,0.001,37.88275637461096,10.173555368521104,0.8706099815157117
../test_case0,SVR,3,3,0.0,0.002,35.718756602263205,9.84943141890397,0.8946395563770795
../test_case0,SVR,3,3,0.0,0.005,31.720472199096097,11.396099121657128,0.88909426987061
../test_case0,SVR,3,3,0.0,0.01,31.555235903713847,15.381196121744406,0.8114602587800369
../test_case0,SVR,3,3,0.0,0.02,34.867117509756746,19.046065127826417,0.7504621072088724
../test_case0,SVR,3,3,0.0,0.03,48.50923321354089,23.28626399399221,0.7153419593345656
../test_case0,SVR,3,3,0.0,0.05,111.45861563009355,33.06925703301166,0.6598890942698706
../test_case0,SVR,3,3,0.0,0.08,133.87416703526395,36.959559763657715,0.6247689463955638
../test_case0,SVR,3,3,0.0,0.1,133.02062917511864,37.15698169859306,0.6155268022181146
../test_case0,SVR,3,3,0.1,0.001,37.42922433916718,9.717174788404229,0.878003696857671
../test_case0,SVR,3,3,0.1,0.002,36.7588595085386,9.272892475334109,0.9038817005545287
../test_case0,SVR,3,3,0.1,0.005,29.34741930572794,12.030466337953195,0.8817005545286506
../test_case0,SVR,3,3,0.1,0.01,27.18387582062297,15.331129755390016,0.8207024029574861
../test_case0,SVR,3,3,0.1,0.02,37.73368925103282,19.007408116277997,0.7707948243992606
../test_case0,SVR,3,3,0.1,0.03,54.78939160250649,23.886365737285633,0.7412199630314233
../test_case0,SVR,3,3,0.1,0.05,114.90368072935925,34.296635573678905,0.6580406654343808
../test_case0,SVR,3,3,0.1,0.08,134.03721350007473,37.80491152422164,0.6266173752310537
../test_case0,SVR,3,3,0.1,0.1,134.01209489492055,38.176578114792214,0.6118299445471349
../test_case0,SVR,3,3,0.2,0.001,37.70470682447388,9.271374917150276,0.8872458410351202
../test_case0,SVR,3,3,0.2,0.002,34.08479903808225,9.102736047193034,0.9131238447319778
../test_case0,SVR,3,3,0.2,0.005,27.450384629119657,12.434204099707145,0.878003696857671
../test_case0,SVR,3,3,0.2,0.01,28.7472093096502,15.258115968578489,0.8262476894639557
../test_case0,SVR,3,3,0.2,0.02,31.321703675422697,19.550791737377605,0.7781885397412199
../test_case0,SVR,3,3,0.2,0.03,55.825765811026045,25.147235136878777,0.7375231053604436
../test_case0,SVR,3,3,0.2,0.05,109.84240663084228,33.49301377928712,0.6654343807763401
../test_case0,SVR,3,3,0.2,0.08,136.77348708799025,38.205100639756004,0.609981515711645
../test_case0,SVR,3,3,0.2,0.1,138.01576211603535,38.57260170906187,0.5951940850277264
../test_case0,SVR,3,3,0.4,0.001,35.78209300757338,8.712419226905537,0.8835489833641405
../test_case0,SVR,3,3,0.4,0.002,35.407956427765455,9.161361668599609,0.9168207024029574
../test_case0,SVR,3,3,0.4,0.005,29.91522255501774,11.895586026381295,0.8872458410351202
../test_case0,SVR,3,3,0.4,0.01,24.531661989922313,15.422373542650975,0.8299445471349353
../test_case0,SVR,3,3,0.4,0.02,27.945880382295986,19.852556366146445,0.7855822550831792
../test_case0,SVR,3,3,0.4,0.03,46.70482183472035,24.90734825122073,0.7523105360443623
../test_case0,SVR,3,3,0.4,0.05,106.24020709413857,33.363572897822955,0.6728280961182994
../test_case0,SVR,3,3,0.4,0.08,124.08862489442771,36.38715595396878,0.6524953789279113
../test_case0,SVR,3,3,0.4,0.1,123.25211087508849,36.819319638273626,0.6395563770794824
../test_case0,SVR,3,3,0.5,0.001,37.27674420760836,8.375436499087977,0.8946395563770795
../test_case0,SVR,3,3,0.5,0.002,32.4010098948777,8.896628120960704,0.9186691312384473
../test_case0,SVR,3,3,0.5,0.005,27.11884849215801,10.64471562356045,0.8964879852125693
../test_case0,SVR,3,3,0.5,0.01,22.93661911052427,14.912735874715123,0.8373382624768947
../test_case0,SVR,3,3,0.5,0.02,23.686822098530975,19.381636226023755,0.7966728280961183
../test_case0,SVR,3,3,0.5,0.03,47.154047986753916,24.000231206190872,0.7523105360443623
../test_case0,SVR,3,3,0.5,0.05,95.49016606844194,31.24919240002167,0.6876155268022182
../test_case0,SVR,3,3,0.5,0.08,115.75369135551648,34.63889620892965,0.6617375231053605
../test_case0,SVR,3,3,0.5,0.1,114.26021521218271,34.85831502188747,0.6543438077634011
../test_case0,SVR,3,3,0.6,0.001,36.590946778898235,8.415077912829137,0.8983364140480592
../test_case0,SVR,3,3,0.6,0.002,35.297512713981206,7.944188297964733,0.9316081330868762
../test_case0,SVR,3,3,0.6,0.005,32.17553698433481,9.76908677293982,0.9057301293900185
../test_case0,SVR,3,3,0.6,0.01,26.304613498349106,12.95590263989378,0.8650646950092421
../test_case0,SVR,3,3,0.6,0.02,25.355366879812003,19.006453859653252,0.8096118299445472
../test_case0,SVR,3,3,0.6,0.03,44.21657873842233,23.595582887747746,0.7634011090573013
../test_case0,SVR,3,3,0.6,0.05,82.59213732532662,27.871134390474598,0.7153419593345656
../test_case0,SVR,3,3,0.6,0.08,106.64835905898846,31.815022701940002,0.6728280961182994
../test_case0,SVR,3,3,0.6,0.1,106.72581060990474,32.17538083013723,0.66728280961183
../test_case0,SVR,3,3,0.8,0.001,36.08513881471848,8.0281927374075,0.9038817005545287
../test_case0,SVR,3,3,0.8,0.002,34.014136765010385,8.05575408176831,0.9408502772643254
../test_case0,SVR,3,3,0.8,0.005,27.81111172526713,10.556805171268289,0.9075785582255084
../test_case0,SVR,3,3,0.8,0.01,23.684476982799072,12.636718338550576,0.8743068391866913
../test_case0,SVR,3,3,0.8,0.02,17.97700209536798,13.418183221200875,0.8484288354898336
../test_case0,SVR,3,3,0.8,0.03,25.00452271630916,17.703339284531417,0.8022181146025879
../test_case0,SVR,3,3,0.8,0.05,44.07002613307891,20.425669030051253,0.7781885397412199
