dataset,model_name,distance_frac_step,clean_data,optimized_mode_ratio,butter_Wn,dist_error,dir_error,dir_ratio
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.8,0.003,24.58367554666056,20.359599280696223,0.5055555555555555
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.8,0.0035,22.430560996556242,19.669065207046636,0.5444444444444444
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.8,0.004,22.736046793597826,20.24598614713141,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.8,0.0045,23.183731455391744,20.584563598375418,0.5833333333333334
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.8,0.0055,22.68844840386832,20.510450250858625,0.6
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.8,0.006,22.055971424394475,20.696085824550128,0.55
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.9,0.003,24.439964900888434,19.838153066417192,0.5222222222222223
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.9,0.0035,22.803353828559178,19.143244925651917,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.9,0.004,23.110664614857424,19.447762889685368,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.9,0.0045,24.234110947815072,19.44694633127752,0.5833333333333334
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.9,0.0055,23.13901316315804,19.12179580400555,0.5944444444444444
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.9,0.006,22.430667074820267,19.540032204196162,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.95,0.003,24.12181306340115,19.580031599266075,0.5222222222222223
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.95,0.0035,22.217727800590414,19.320677175011728,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.95,0.004,23.097658946261273,19.536562801764685,0.6
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.95,0.0045,24.249116788890525,19.159037363888793,0.6055555555555555
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.95,0.0055,22.682771544921277,18.683999144137413,0.5944444444444444
Hand-Walk/Hand-Walk-15-003,SVR,3,4,0.95,0.006,22.795852352475965,19.184556622446127,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,3,4,1.0,0.003,24.015240382510072,19.477012279517165,0.5166666666666667
Hand-Walk/Hand-Walk-15-003,SVR,3,4,1.0,0.0035,22.060535603438183,18.79703338403646,0.5944444444444444
Hand-Walk/Hand-Walk-15-003,SVR,3,4,1.0,0.004,22.810260165809535,19.64538726200214,0.6166666666666667
Hand-Walk/Hand-Walk-15-003,SVR,3,4,1.0,0.0045,24.274357196385736,19.155690139838782,0.6055555555555555
Hand-Walk/Hand-Walk-15-003,SVR,3,4,1.0,0.0055,22.456949438693737,18.424661498048586,0.5888888888888889
Hand-Walk/Hand-Walk-15-003,SVR,3,4,1.0,0.006,22.771751113007355,18.624296953163956,0.5555555555555556
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.8,0.003,43.932571989736736,18.531869307063694,0.5111111111111111
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.8,0.0035,43.85971369349945,18.627677928122147,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.8,0.004,43.309159756808754,19.41255106070129,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.8,0.0045,43.36325527817018,20.627452757257778,0.5833333333333334
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.8,0.0055,43.30765376030232,19.88070602046658,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.8,0.006,43.768620456921276,19.788480234458028,0.5555555555555556
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.9,0.003,44.08832573218864,18.724265844111102,0.5222222222222223
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.9,0.0035,42.96964092443403,17.40973694906184,0.5555555555555556
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.9,0.004,43.593800656181685,18.628422935787547,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.9,0.0045,43.404575857721206,19.587841836652636,0.5833333333333334
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.9,0.0055,43.23164914550122,19.330528642672448,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.9,0.006,43.669458354747825,19.166105085990687,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.95,0.003,44.23338361854061,18.42163446032147,0.5222222222222223
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.95,0.0035,42.89699540513703,17.25333377400755,0.55
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.95,0.004,43.61153138759174,18.324106158238536,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.95,0.0045,43.41969001910274,19.185030769748316,0.5777777777777777
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.95,0.0055,43.24488083598295,19.145996214805393,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,3,5,0.95,0.006,43.75358533795598,18.80433832123926,0.5777777777777777
Hand-Walk/Hand-Walk-15-003,SVR,3,5,1.0,0.003,43.64177029186164,17.75900307653184,0.5333333333333333
Hand-Walk/Hand-Walk-15-003,SVR,3,5,1.0,0.0035,42.83354999767808,17.19424666732418,0.5444444444444444
Hand-Walk/Hand-Walk-15-003,SVR,3,5,1.0,0.004,43.54205145184811,18.01588614820833,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,3,5,1.0,0.0045,43.527093309783886,18.738677348443876,0.5777777777777777
Hand-Walk/Hand-Walk-15-003,SVR,3,5,1.0,0.0055,43.41031745245265,18.957383272818166,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,3,5,1.0,0.006,43.77287880555204,18.55869802875431,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.8,0.003,367.5609792539755,20.359599280696223,0.5055555555555555
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.8,0.0035,360.6388616662468,19.669065207046636,0.5444444444444444
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.8,0.004,358.92359834985604,20.24598614713141,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.8,0.0045,361.24086609798155,20.584563598375418,0.5833333333333334
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.8,0.0055,361.94784953209046,20.510450250858625,0.6
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.8,0.006,355.7316133696455,20.696085824550128,0.55
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.9,0.003,368.2917727340877,19.838153066417192,0.5222222222222223
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.9,0.0035,368.7133540004152,19.143244925651917,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.9,0.004,368.02058432827295,19.447762889685368,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.9,0.0045,371.28014744574443,19.44694633127752,0.5833333333333334
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.9,0.0055,367.71802609277023,19.12179580400555,0.5944444444444444
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.9,0.006,358.984404078929,19.540032204196162,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.95,0.003,366.72552765304687,19.580031599266075,0.5222222222222223
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.95,0.0035,367.6323414816691,19.320677175011728,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.95,0.004,369.0811346449158,19.536562801764685,0.6
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.95,0.0045,373.7327593268528,19.159037363888793,0.6055555555555555
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.95,0.0055,367.0798338458278,18.683999144137413,0.5944444444444444
Hand-Walk/Hand-Walk-15-003,SVR,4,4,0.95,0.006,361.39369640720463,19.184556622446127,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,4,4,1.0,0.003,366.05942351499067,19.477012279517165,0.5166666666666667
Hand-Walk/Hand-Walk-15-003,SVR,4,4,1.0,0.0035,366.82614094426185,18.79703338403646,0.5944444444444444
Hand-Walk/Hand-Walk-15-003,SVR,4,4,1.0,0.004,369.19616927881845,19.64538726200214,0.6166666666666667
Hand-Walk/Hand-Walk-15-003,SVR,4,4,1.0,0.0045,374.937123390176,19.155690139838782,0.6055555555555555
Hand-Walk/Hand-Walk-15-003,SVR,4,4,1.0,0.0055,367.4719859544461,18.424661498048586,0.5888888888888889
Hand-Walk/Hand-Walk-15-003,SVR,4,4,1.0,0.006,363.15597731939613,18.624296953163956,0.5555555555555556
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.8,0.003,117.42255140265205,18.531869307063694,0.5111111111111111
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.8,0.0035,115.6206569473113,18.627677928122147,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.8,0.004,116.90210230234976,19.41255106070129,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.8,0.0045,116.93063603279916,20.627452757257778,0.5833333333333334
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.8,0.0055,117.84057824849319,19.88070602046658,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.8,0.006,116.6709481279404,19.788480234458028,0.5555555555555556
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.9,0.003,117.52672528166745,18.724265844111102,0.5222222222222223
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.9,0.0035,118.50444148970516,17.40973694906184,0.5555555555555556
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.9,0.004,115.39299939745621,18.628422935787547,0.5722222222222222
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.9,0.0045,116.46934361315682,19.587841836652636,0.5833333333333334
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.9,0.0055,118.0132059920291,19.330528642672448,0.5611111111111111
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.9,0.006,117.04379401751666,19.166105085990687,0.5666666666666667
Hand-Walk/Hand-Walk-15-003,SVR,4,5,0.95,0.003,117.73634978194623,18.42163446032147,0.5222222222222223
