dataset,dist_error,dir_error,dir_ratio
Hand-Walk/Hand-Walk-02-001,14.900471359055329,7.14304629008742,0.9288888888888889
Hand-Walk/Hand-Walk-02-002,143.1923572704816,66.37025939583833,0.018518518518518517
Hand-Walk/Hand-Walk-02-003,42.95621409042645,11.798217923993343,0.7640449438202247
Hand-Walk/Hand-Walk-02-004,12.965751281550581,15.425756232581389,0.5830258302583026
Hand-Walk/Hand-Walk-02-005,20.212691118218814,23.815157146131398,0.3025830258302583
Hand-Walk/Hand-Walk-02-006,62.25282406198824,20.232075147751573,0.5384615384615384
Hand-Walk/Hand-Walk-02-007,45.045669435078125,18.793601279400068,0.5300207039337475
Hand-Walk/Hand-Walk-02-008,18.75821442274993,8.734746455860043,0.855036855036855
Hand-Walk/Hand-Walk-02-009,33.38195162692798,11.525012891525,0.7937743190661478
Hand-Walk/Hand-Walk-03-001,71.54659086587695,36.002094253952315,0.2552552552552553
Hand-Walk/Hand-Walk-03-002,224.39928789872647,15.616376420755884,0.6309523809523809
Hand-Walk/Hand-Walk-03-003,66.12823513983625,30.00530327317285,0.36
Hand-Walk/Hand-Walk-03-004,76.16016810469094,23.702540616796842,0.4446494464944649
Hand-Walk/Hand-Walk-03-005,102.82381354162585,25.447912334048105,0.40148698884758366
Hand-Walk/Hand-Walk-03-006,166.75008518121078,24.11275447604096,0.5459363957597173
Hand-Walk/Hand-Walk-03-007,338.9017764690273,18.14211482534489,0.5833333333333334
Hand-Walk/Hand-Walk-03-008,46.85586751732579,30.82568341479046,0.4789579158316633
Hand-Walk/Hand-Walk-03-009,184.9969273251974,100.12093675047953,0.23173277661795408
Hand-Walk/Hand-Walk-03-010,133.9709261310288,23.56035432707987,0.2042755344418052
Hand-Walk/Hand-Walk-03-011,173.81765195699077,8.963317888778993,0.8055555555555556
Hand-Walk/Hand-Walk-03-012,110.93481638667159,25.400918434820415,0.3992248062015504
Hand-Walk/Hand-Walk-03-013,33.10369997327332,28.10399904890273,0.3978494623655914
Hand-Walk/Hand-Walk-03-014,17.34209119925757,17.677002586697082,0.5102040816326531
Hand-Walk/Hand-Walk-03-016,97.54153234356812,11.244826531896145,0.7454068241469817
Hand-Walk/Hand-Walk-03-017,136.94826545734475,57.840561690933235,0.12915129151291513
Hand-Walk/Hand-Walk-03-018,77.99882360397058,31.309212989007328,0.32679738562091504
Hand-Walk/Hand-Walk-04-002,514.6767932352302,78.46870306712104,0.009966777408637873
Hand-Walk/Hand-Walk-04-003,16.23282211486539,14.908276276284088,0.7012987012987013
Hand-Walk/Hand-Walk-08-001,40.504739895069825,11.316312225075563,0.7611940298507462
Hand-Walk/Hand-Walk-08-002,25.084632829066273,11.8617049290433,0.7040816326530612
Hand-Walk/Hand-Walk-09-001,42.6455445008382,8.284083129514702,0.922077922077922
Hand-Walk/Hand-Walk-11-001,302.72207266066323,33.96198487586934,0.1793478260869565
Hand-Walk/Hand-Walk-15-002,65.26516398335934,44.85921487474205,0.25668449197860965
Hand-Walk/Hand-Walk-15-003,385.9879230428902,19.320677175011728,0.5722222222222222
Hand-Walk/Hand-Walk-15-004,91.30025077370242,10.718333519325826,0.8213592233009709
Hand-Walk/Hand-Walk-15-005,45.71973922925659,17.984852764084984,0.47058823529411764
Bag-Walk/Bag-Walk-08-001,71.66939703640311,21.560293609943354,0.4264705882352941
Bag-Walk/Bag-Walk-08-002,23.204059627932534,12.12783205709239,0.7354788069073783
Bag-Walk/Bag-Walk-10-001,616.3601067214779,95.18687711085973,0.051470588235294115
Bag-Walk/Bag-Walk-11-001,32.62747056789549,57.58538635967623,0.14864864864864866
Pocket-Walk/Pocket-Walk-01-001,29.996363814709767,27.33663022810161,0.1267605633802817
Pocket-Walk/Pocket-Walk-03-001,166.75008518121078,24.11275447604096,0.5459363957597173
Pocket-Walk/Pocket-Walk-03-002,32.4404823350179,22.511782278025432,0.5844155844155844
Pocket-Walk/Pocket-Walk-03-003,79.61506259330392,24.38109530276639,0.42777777777777776
Pocket-Walk/Pocket-Walk-03-004,122.3464835670514,24.494624463979335,0.31666666666666665
Pocket-Walk/Pocket-Walk-03-005,10.997347782095195,15.07449799857009,0.6393034825870647
Pocket-Walk/Pocket-Walk-03-006,132.34049879302,14.91000059524003,0.5794392523364486
Pocket-Walk/Pocket-Walk-03-007,52.180740749432786,19.211640992044668,0.5250463821892394
Pocket-Walk/Pocket-Walk-03-008,55.28895428750145,11.079510537054388,0.7672253258845437
Pocket-Walk/Pocket-Walk-03-009,90.70580675006975,15.407913177650135,0.6131805157593123
Pocket-Walk/Pocket-Walk-09-001,62.493248786656885,5.704715685846886,0.9381443298969072
